trade_date,ticker,net_buy_amount,consecutive_buy_days,buy_intensity_pct,open,close,future_return_20d
2026-02-02,086280,-2005089500,0,-0.010867693766937669,239500,246000,0
2026-02-02,086450,18470,1,2.281304430555795e-06,18410,17900,0
2026-02-02,086520,5504465700,1,0.024948147799123868,164800,162500,0
2026-02-02,086710,-5607900,0,-0.004941294471650245,9540,9300,0
2026-02-02,086790,1647599700,1,0.005730570962010554,101800,103300,0
2026-02-02,087010,303436000,1,0.0045342557910008074,304000,287000,0
2026-02-02,088350,-1233826,0,-4.190534258763671e-05,3490,3390,0
2026-02-02,089030,-910457450,0,-0.054361356185209576,48500,45200,0
2026-02-02,089590,-89153915,0,-0.0209387461899708,5400,5280,0
2026-02-02,089860,-198751000,0,-0.018005981929811826,30650,30400,0
2026-02-02,089890,27250000,1,0.006283192023956579,25550,26150,0
2026-02-02,089970,-337106250,0,-0.050862656051078786,28700,27150,0
2026-02-02,090430,5141405150,1,0.06360213267635192,136900,138200,0
2026-02-02,090435,344873000,1,0.06455561357550646,51500,50600,0
2026-02-02,090460,-21219510,0,-0.0035763837807480845,18060,17600,0
2026-02-02,092730,-180882600,0,-0.05586841966522339,18740,20200,0
2026-02-02,093050,19085760,1,0.003435409316725466,19050,19000,0
2026-02-02,093370,6533330,1,0.0007510949766390583,8250,8110,0
2026-02-02,094280,25132380,1,0.017465220019042445,12560,12450,0
2026-02-02,095340,-6437875350,0,-0.2213669921695363,144100,137200,0
2026-02-02,095570,-263560030,0,-0.11009784377845946,5270,5290,0
2026-02-02,095610,-481595100,0,-0.036199227094471,70300,67300,0
2026-02-02,095660,-19746650,0,-0.0032151423977175696,29100,28100,0
2026-02-02,096350,-32808905,0,-0.044179731746993925,2175,2015,0
2026-02-02,096530,142750250,1,0.010198947799196778,29300,26800,0
2026-02-02,096770,6123431350,1,0.033884010730980116,111800,106900,0
2026-02-02,097230,192555700,1,0.0088485881072001,24700,24100,0
2026-02-02,097950,-999498500,0,-0.03154080467336579,214000,210500,0
2026-02-02,098460,394881250,1,0.017890188389392766,33500,32150,0
2026-02-02,099320,971258750,1,0.047200148012188026,193900,187900,0
2026-02-02,100090,-516262020,0,-0.0478464613232039,18010,17270,0
2026-02-02,101160,11394050,1,0.0027938814512864394,25300,24700,0
2026-02-02,101360,22750,1,6.019236328374583e-06,21750,21250,0
2026-02-02,101490,-1706780950,0,-0.09615331828494046,88800,83200,0
2026-02-02,101730,7220,1,1.2325341858122092e-06,7450,6990,0
2026-02-02,102260,50720595,1,0.023756469086550772,4380,4255,0
2026-02-02,102460,-16846120,0,-0.008187425971820797,11290,11070,0
2026-02-02,102710,114608050,1,0.01499321900150642,56300,53500,0
2026-02-02,102940,-34649100,0,-0.0038772110748109684,63900,69000,0
2026-02-02,103140,-2378369600,0,-0.07247496554266974,125100,117100,0
2026-02-02,103590,-2339775550,0,-0.08260425420534628,66000,59400,0
2026-02-02,105560,-3190446700,0,-0.006255595919233712,137900,133700,0
2026-02-02,105630,331757965,1,0.05791863914106145,13950,14320,0
2026-02-02,105840,-4711800,0,-0.0009659806802572366,24900,24150,0
2026-02-02,108320,-172935200,0,-0.020024122941013706,54200,53100,0
2026-02-02,108380,-13696700,0,-0.005149680170635979,29500,27800,0
2026-02-02,108490,2543042000,1,0.056760503330884796,331000,307500,0
2026-02-02,108860,13150,1,3.853146340940362e-06,12880,12680,0
2026-02-02,111770,-160980150,0,-0.004319765721216609,92700,84100,0
2026-02-02,112610,-319737425,0,-0.019341464556646867,40850,39200,0
2026-02-02,114090,269633170,1,0.034242494807005364,12950,12730,0
2026-02-02,114840,5706780,1,0.002047810220679309,15040,16090,0
2026-02-02,119610,-113097170,0,-0.05501863144409256,17600,18010,0
2026-02-02,119850,288942000,1,0.05113836459772839,35600,34350,0
2026-02-02,120110,-554108450,0,-0.03806317543911043,51800,52900,0
2026-02-02,121600,70400,1,8.566424086989088e-06,67500,67300,0
2026-02-02,122870,110882600,1,0.008486967694616168,72500,69900,0
2026-02-02,123330,-136431850,0,-0.08056945884313559,16360,21250,0
2026-02-02,123410,-37982055,0,-0.018117474280299608,7770,7530,0
2026-02-02,123860,4206410,1,0.0020314155053201524,17590,17080,0
2026-02-02,125490,-6037175,0,-0.0007416654584966743,24300,22300,0
2026-02-02,126340,2644443550,1,0.3999157728099493,92300,98200,0
2026-02-02,126720,-57524400,0,-0.01695422091558169,24500,23750,0
2026-02-02,127120,-273068700,0,-0.03755202501352198,20000,22250,0
2026-02-02,128940,-1392794500,0,-0.023280239102411646,473000,467000,0
2026-02-02,131290,474142800,1,0.05530905286200568,76900,77500,0
2026-02-02,131970,-26934800,0,-0.0022297898954832555,64900,62500,0
